URL: http://animexx.onlinewelten.com/datenbank-zuviel.phtml?them_id=1

Du siehst zuviel Sailor Moon, wenn...

... 	dein Papagei plötzlich beginnt, "Chibi Chibi" zu rufen. 	 Onkel_Montork
... 	du noch nie Dart gespielt hast, es aber gleich geschafft hast 100 Punkte mit einem Pfeil zu kriegen, weil du ein Bild von Eugial dranngepinnt hast. 	 Chloe
... 	jemand dich austricksen wollte, aber du bist nicht drauf reingefallen. Als er/sie dich fragt, wie du es raus bekommen hast, zeigst du ihm/ihr deinen Handspiegel und sagst, dass du alle durch deinen Spiegel sehen kannst. 	 Chloe
... 	deine Freundin ihren Stift fallen lässt und ihn aufheben will, bevor du sagst "Halt, du darfst diesen Stift nicht nehmen. Wenn du ihn einmal in der Hand hast, wird sich dein Leben für immer verändern." 	 Chloe
... 	du weisst, was du zu tun hast, wenn jemand sagt "Ich hasse das Meer". 	 Chloe
... 	du zum Strand fährst und Violinenstücke spielst. (Auch wenn die Flut langsam kommt.) 	 Chloe
... 	du bemerkst, dass alle, die sich gerade in der Nähe befinden, unter den Tischen krabbeln, als du ein Glas Wasser nehmen willst. (um etwas zu trinken.) 	 Chloe
... 	du eine Kathedrale betrittst und dich vorsichtig umschaust, ob keine Pfeile durch die Gegend fliegen. 	 Chloe
... 	du deine Freundin ständig fragst, ob der Wind ungewönlich weht. 	 Chloe
... 	wenn jemand Neptun kritisiert und danach im Krankenhaus landet. 	 Chloe
... 	du "Stirb du Schlampe!" schreist, wenn du Eugial im TV siehst. 	 Chloe
... 	du jemanden bedrohst und "Macht der Neptunnebel, mach auf!" oder "Deep Submarge!" rusfst. 	 Chloe
... 	deine Freunde sich nicht trauen zu sagen, dass Merkur besser als Neptun ist. (Sie erinnern sich noch an das letzte Mal, als sie es wagten... überall war Wasser.) 	 Chloe
... 	dein Psychater absichtlich kein Glas Wasser in seinem Arbeitszimmer hat. 	 Chloe
... 	deine Eltern drohen dir Telefon, TV und Verabredungen zu streichen, wenn du dich ihnen mit einem Glas Wasser näherst. 	 Chloe
... 	dich jemand fragt woher du kommst und du sagst "Neptun". 	 Chloe
... 	du Haruka-Träume und Eugial-Alpträume hast. 	 Chloe
... 	deine Freunde zu einem Psychologen müssen, weil sie einen Nervenzusammenbruch kriegen, wenn du aus einem Glas Wasser trinkst. 	 Chloe
... 	jeder, der so aussieht wie Eugeal, mit einem Glas Wasser über dem Kopf endet. 	 Chloe
... 	du diese Seite mindestens 1 mal am Tag durchgehst. 	 Chloe
... 	du versuchst den Namen deiner Schule in 'Mugen Gakuen' umzuändern. 	 Chloe
... 	du dir jeden Tag die SNVerwandlungsmusik anhörst, "Macht der Neptunnebel, macht auf!" rufst und hoffst, dass du dich in Sailor Neptun verwandelst. 	 Chloe
... 	du ein Glas Wasser auf deine verärgerten Eltern schüttest und rufst 'Deep Submerge'. 	 Chloe
... 	du am Meer bist und eine Welle aufschlägt, rufst du 'Deep Submarge'. 	 Chloe
... 	du vor dem Herd stehst und versucht durch Beschwörung in die Zukunft zu sehen 	 Lairosiel
... 	Du Dich beim Namen des Fernsehsenders "Arte" an Artemis erinnerst. Außerdem Fällt Dir die Ähnlichkeit auf zwischen Salomon und Sailor Moon. 	 theDraco
... 	du dir wünscht dein Freund hat sich nur von dir getrennt um dich zu schützen weil er träumt es könnte dir was passieren wenn ihr zusammen bleibt 	abgemeldet
... 	du meinst man müsste Mattel(barbie hersteller) unbedingt die Sailor Moon Charakter schicken damit die mal anständige Figuren herstellen... (nich diesen IGEL mist) 	abgemeldet
... 	du Angst hast, in ein Planetarium zu gehen, weil da ja die Bösen lauern könnten. (Nix da, ich hab mir alles in Ruhe angesehen...ok mit schlotternden Knien >.>""" Bah v.v) 	abgemeldet
... 	du schon so wuschi bist, das du nicht mal mehr merkst, dass du einen Spruch zu ner anderen Serie unter Sailor Moon abgeschickts hast und es nicht mal mehr merkst XD Sorry^^ 	abgemeldet
... 	du sogar deinen 5 jährigen Bruder so weit gebracht hast,auch in nen Volleyballverein gehn zu wollen! 	abgemeldet
... 	du dich als Sailor Moon verkleidest, so im Garten herumspringst und die Dämonen vernichtest (kleinen Bruder und Nachbarsjungen)^^hab ich nicht gemacht-nein, nein!!*drop* 	abgemeldet
... 	du Frauen in der Stadt ruftst und ihnen sagtst das sie ein Sailor Jupiter Kostüm tragen sollen ^-^ 	abgemeldet
... 	du meinst, dass jeder Typ ähnlichkeit mit deiner verflossenen Liebe hat! 	abgemeldet
... 	du denkst, dass gewisse männliche Sänger(Three lights) sich in Mädchen verwandeln können! 	abgemeldet
... 	du dich wie ein Schnitzel freust als du gehört hast dass RTL2 Sailor Moon wieder bringt. (Hey, also ich mach das net, was denkt ihr >.>" Jaaaa ^-------^ *freuzZ* XD) 	abgemeldet
... 	du dir gelbe Strümpfe an den Kopf klebst, um zumindest ansatzweise wie Usagi auszusehen *drop* 	abgemeldet
... 	du versuchst bei deiner Katze einen halbmond zu suchen und ihr das sprechen beibringen willst! 	abgemeldet
... 	du deinen Vater für den bösen Dr. Tomoe hällst (sry wenns dat scho gibt! hab net alle Durchgelesen!) 	abgemeldet
... 	Du Deinem Astronomielehrer beizubringen versuchst, wo der Planet Menesis zu finden ist... und Du ihn tatsächlich überzeugen kannst! 	theDraco
... 	Du sogar Angst hast, in einen Ford GALAXY zu steigen. 	theDraco
... 	du mit 17 Jahren sagst: "Ich beneide diese Jugend..." (XD Michiru in der Folge "Das Konzert") 	Jenna
... 	du dich wütend vor deinen Ex stellst und rufst : ,,Im Namen des Mondes werde ich dich bestrafen!" 	maymercury
... 	du versuchst den Beginn der ersten Folge GENAUESTENS nachzuahmen, damit vielleicht auch eine Katze auftaucht, die du retten musst ^_^ 	Kiana-chan
... 	du dir das Saturn-Zeichen auf den Nacken tätowieren lässt, die Haare schulterlang abschneidest und sie dir schwarz färbst.. (..wo bekomm ich das Kostüm? ;)..) 	Alita05
... 	du nach den Millionen Folgen immer noch verstehst, worum es geht.... ^.^° 	candy_kitty_17
... 	du jede schwarze Katze in deiner Stadt abcheckst, ob sie nicht einen Halbmond auf der Stirn hat 	candy_kitty_17
... 	dich keiner erkennt,wenn du mit einer soooo unauffälligen Sailor-Moon-Kampfkleidung rumläufst ^^ 	candy_kitty_17
... 	deine Freundin eine weiße Katze namens Artemis hat 	candy_kitty_17
... 	du dir die Haare bis zum PoPo wächsen lässt 	candy_kitty_17
... 	du an den nordpol reist um dort das versteck des königreich des dunklen zu suchen ^^ 	shaitan
... 	du auf deine beste Freundin neidisch bist weil die von ihrem Opa ein Mondzepter bekommen hat und du nicht (*schnief*) 	luna
... 	du DOC heißt und dir fast 300 Gründe einfallen hier rein zu schreiben.^^ 	StarHealer
... 	du deine Oma dazu zwingst, dass sie ihren Lieblingsfaltenrock in der Farbe grün zerschneidet, damit sie dir dann ein Sailor Neptun Kostüm nähen kann ^^' 	Lucia88
... 	du dir sämtliche Haruka und Michiru Folgen aufnimmst, weil du das Pairing so süß findest, obwohl du die Episoden schon vor dem Aufnehmen in und auswendig kanntest und sie dich nun zu tode langweilen. 	Lucia88
... 	du dir die Haare bis kurz unter die ohren abschreidest und blau fährbst nur um wie ami auszusehen. (hatte ich gemacht und ich sah geil aus) 	Yura12
... 	du deinen Regenschirm spiralförmig anmalst und deine Eltern und freunde hypnotisieren willst 	Zoisite-Fan
... 	Du Samstag Abends allen deinen Freunden absagst und dich statt dessen mit einem Asia Nudel Snack in dein stilles Kämmerlein zurückziehst und bis morgens um 6 Uhr deine Sailor Moon Folgen auf DVD guckst, bis du im Halbschlaf auf dem Weg zum Klo deinem Vater begegnest und du ihm zu brüllst "Im Namen des Mondes werde ich dich bestrafen"! (Ist mir wirklich passiert, wie peinlich*schäm*) 	Hakira
... 	Wenn du jedes Bild von ihr ausdrukst und schon bald eine Bildergaleri auf mahen kanst (mahe ich auch) 	Lena
... 	du 3 deiner Kumpels dazu überedest sich die Haare ganz lang wachsen zu lassen und sich auf die bühne zu stellen und zu. ( hab ich gemacht und die haben sich wirklick an Fasnacht hingestellt und versucht zu singen nur die sache mit den haaren hat nicht so ganz hingehauen. 	Yura12
... 	du sämtliche Kaufhäuser und Bademodefachgeschäfte nach einem Bekinie absuchst der genauso wie das autfit von Starlight aussieht! (Hab ich gemacht und wirklich einen gefunden jtzt fehlen nur noch die Stiefel und dann hab ichs) (ganz doll freu :-)) 	yura12
... 	du dich vehement weigerst, Usagi Bunny zu nennen... 	SweetOcarina
... 	du immer "MONDSTEIN FLIEG UND SIEG" schreist 	rikku
... 	du in der fünften Klasse immer drauf gewartet hast das deine Katze zu sprechen anfängt und darauf gewartet hast das du die Welt retten musst. 	Sina
... 	dir zufällig eine schwarz-grau-blaue Carthäuser Katze zuläuft, du sie bei dir aufnimmst und Luna nennst (sie war echt so süß und sah zufällig aus wie sie. Leider lebt sie nicht mehr *heul*) 	Miomi
... 	Du Dich in ein weißes Bettlaken hüllst, damit Du aussiehst wie der Ritter des Mondlichts. Dann hällst Du Dir beim Sprechen den Mund zu, damit Du auch genauso reden kannst! 	theDraco
... 	du eine Frau gesehen hast, die original so aussieht wie Haruka, sie angesprochen hast und nun mit ihre zusammen bist (sehen zusammen aus wie Haruka und Michiru, nur dass ich blond bin) 	Sternchen
... 	du deiner Katze einen Mondaufkleber auf die Stirn klebst. 	Kosho
... 	du fest daran glaubst, dass du in ein paar Jahren Königin bist und eine Tochter namens Chibi-Usa bekommst! 	Satiné-Cleo
... 	du dich, obwohl du ein kerl bist, als Sailor Moon verkleidest und das noch tierisch toll findest. (( LaLaLa, NEIN, ich doch nicht wie kommt ihr nur darauf. PS: Animagic '04 Wer mich sehen will.)) 	Sabertooth
... 	du dir einen Halbmond auf die Stirn tätowieren lässt und dan darauf bestest mit Prinzessin oder Serenety angeredet zu werden. 	MimikoNatsujami
... 	du denkst deine Cousine hat eine Kuhglocke mit der sie das fliegende Pferd Pegasus ruft 	Usagi-Chan
... 	du dem Mathegenie eurer Schule aus dem Weg gehst, der ist doch nur so gut, weil er ein youma ist und in die Zukunft sehen kann!!! 	Kaizoku
... 	...du stundenlang im Internet nach der Fanfic suchst die du zufällig endeckt hast und wenn du sie nich findest sagst"Im Namen des Mondes werde ich euch bestrafen wenn ich nicht sofort diese Fanfic finde!" 	mausi_brausi
... 	dir klar wird, dass du tatsächlich zu viel Sailor Moon siehst... 	Kaizoku
... 	du jedes Mal wenn du eine Vermisstenanzeige siehst sofort denks, dass es Zoisite mit seinem Schwarzem Kristall gewesen sein muss... 	Kaizoku
... 	du dir eine Maschine kaufst die genauso aussieht wie die von Haruka (von dem Geld das du die letzten 5Jahre so mühsam zusammengespart hast), weil du das für total cool hältst, und in sie in der nächsten Kurve um den Baum wickelst weil du keine Ahnung vom Motorradfahren hast!! *schäm* 	kyll
... 	du lesbisch wirst, krampfhaft versuchst wie Haruka auszusehen und nach einem Mädchen namens Michiru suchst um ihr deine Liebe zu gestehen! (ich suche immer noch verzweifelt ;-)) 	kyll
... 	du vor der "Singenden Sonnenblume" deiner Schwester höllische Angst hast, und denkst sie würde dir etwas antun wenn du nicht hinguckst 	Wishmaster
... 	du grosse Schleifen am Ausschnitt nicht kitschig findest 	Kaizoku
... 	du einen Extramagen für Schokokuchen hast 	Kaizoku
... 	du krampfhaft versuchst deine freunde zu überzeugen,dass sie auserwählte Krieger sind und der Prinzessin beim Mathelernen beistehen sollen. 	Mirage_of_Ai
... 	du die erste Serie gesehen hast 	Ich
... 	du faul, verfressen und schusselig wirst..... 	Jennychan
... 	du verwirrt so etwas wie "wunderschön...diese Agonie vor der Zerstörung"( manga band 10) murmelst,wenn du deine Matheschulaufgabe geschrieben hast 	Angel-of-Rage
... 	du keine Haare mehr hast,weil du sie alle verloren hast,als du verzweifelt versucht hast Bunnys Frisur nachzumachen 	Angel-of-Rage
... 	du die letzten SM-Folgen auf Video hast und, egal wie arg dich dein Bruder vera*****, sie dir immer wieder ankuckst,wenn du mal heulen willst *sniff* 	Angel-of-Rage
... 	du verzweifelt jemanden mit so grünen Augen wie Yaten suchst und enttäuscht feststellen musst,dass es diesen Jemand nicht gibt 	Angel-of-Rage
... 	du beim Videoclip von T.A.T.U sofort an Haruka und Michiru gedacht hast und dich freust sie endlich mal beim küssen zu sehen 	Mia
... 	Du mit der AIDA fährst und der Kapitän bei der Begrüßung anprangert: "Es begrüßt Sie ihr Sailor Team" und du laut jubelnd, nach Sailor Moon rufst. (Zum Glück war ich es nicht ^-^) 	Spidey
... 	du träumst das du mamoru küsst und plötzlich bunny kommt und sagt das du die finger von ihm lassen sollst ( hab ich wirklich geträumt -.- * 	CyberCat
... 	du davon überzeugt bist,dass du in der Zukunft als Königin in Kristall Tokio herrschen wirst 	andriola
... 	du glaubst, dass du zu wenig Sailor Moon siehst; weil nu 90% der Einträge zu dir passen. (Ich sollte wirklich mehr Sailor Moon gucken ^-^) 	Merl
... 	du jede einzelne Folge bei Namen nennen kannst. 	Sm-Fan
... 	du kurz davor bist Mamoru oder Tuxedo Mask zu küssen und Bunny dann kommt und sagt: Das ist mein Freund! 	Momo-chan
... 	du so virl schreiben kannst wie DOC (nich böse gemeint) :-))))) 	Capitän Endlossmoker
... 	du immer noch diese sailor moon paier-starschnitte aus der sailor moon zeitschrift hast (gibt es die noch? die wo alle zwei wochen eine folge abgedruckt war...)... ich jedenfalls hab diese schnitte (ähnlich wie die aus der bravo) noch auf meinem schrank liegen ^^° 	Justine
... 	dich nach zwei Jahren intensiver Dämonenbekämpfung immernoch jemand drau hinweisen musst, dass deine Zeit gekommen ist, das Monster zu besiegen (LOS! DU BIST DRAN SAILOR-MOON)! (Dabei hat Seiya Mamorus Platz eingenommen)! 	Tooth
... 	du deiner Freundin immer erst in letzter Sekunde mit deinem Rosengeschmeiße hilfst, weil du ja erst auf eine Laterne/Zaun/Häuserdach klettern musstest! 	Tooth
... 	du abends zwei Stunden lang sitzt und deine Rosen anspitzt, damit sie sogar in Stein stecken bleiben! 	Tooth
... 	du auch glaubst, dass Naoko sich Tuxedo Mask bei Phantom der Oper abgeguckt hat, da er auch eine Maske und Smoking am hellichten Tag trägt. 	Tooth
... 	du deinen Halsreif aus Metall auf den Kopf setzt und du bei dem kleinsten Geräusch ihn elegant von d er Stirn nimmst ihn, rufst: >MONDSTEIN flieg und sieg!<und ihn dann mit einer graziösen Drehung Richtung Tür schleuderst. Dann hörst du nur noch ein Stöhnen und bemerkst das es nur deine Schwester war die sich von dir ein Pflaster holen wollte, weil die Pfote von ihrem heißgeliebtem Bären Bauchschmerzen hat, und sie nun eine ganze Binde braucht. 	kai_is_so_kawai
... 	deine haare Sailor Saturn hast und sagst Macht der Saturn Nebel Macht Auf! 	Clarice
... 	du jedem rothaarigen Mann um den Hals fällst, weil du denkst, dein geliebter Rubeus ist zurückgekommen 	Shuri
... 	du dich stetig über diese unwissenden Schwachmaten aufregst, die ihre tollen 'Ich-mach-Ami-gelbe-Harre'Sailor Kriegerinnen 'Sailor Sun' nennen, obwohl die sonne doch schon durch Helios vertreten ist. Hrmpf. (Ps: ich find DOC toll^^ Gott, du scheinst Zeit zu haben^^) 	Meimi
... 	du bei gefahr Macht der Mond nebel macht auf schreist 	Naiyla
... 	statt dem Vater unser betest: Sailorkrieger die ihr seit auf der Erde, geheiligt werde euer Name, Eure Kraft komme, euer Wille geschehe, wie bei euch so auch bei uns, denn euer ist die Erde in all ihrer Kraft und Herrlichkeit in ewigkeit, Sailors. 	Cratsch
... 	du alle schwarzen und weißen Katzen nach Halbmonden auf der Stirn untersuchst und darauf bestehst, dass sie Luna und Artemis heißen. 	Sailor DeathStar
... 	du anfängst japanisch zu lernen um nach Japan zu ziehen um dort Naoko zu helfen weitere 200 folgen zu veröfentlichen 	bibi
... 	man alles kauft was mit Sailor Moon zu tun hat! [mach ich immer noch ;-)] 	JoMarch
... 	du alle Sailor Moon Folgen aufnimmst und traurig bist, wenn man eine Folge verpasst hat! :-( 	JoMarch
... 	du deinem pferd 'ne bleiche verpasst, ein horn aufklebst und ihn Pegasus nennst. 	sanja
... 	du dich quer durch I-Net klickst nur um die letzte folge zu finden (die war so süß^^) 	Karachiel
... 	du während du bei deinem Freund pennst im Schlaf immer "Macht des Mondkristalls mach auf" brabbelst und ab und zu "Mamorou, ich liebe dich!" brüllst und dabei sabberst. 	Saturny
... 	du dich selbst von dem süßesten Kerl nicht küssen lässt, nur weil du Angst hast er könnte dir das Herz aussaugen. 	einenFrosch
... 	du dir einen Füller kaufst und versuchst dich damit in eine Sailor-Kriegerin zu verwandeln. 	Hamita
... 	du mit deinen Freunden eine Serie nachmachst und du die beste bist 	crazy-kibbie
... 	ich mal keine Lust auf andere Serien habe 	Usagi Sukino
... 	du dich wie eine Irre freust, weil du bei deinem Deutschland-Urlaub in Köln den Kunsthandel Neptun entdeckt hast, und fest davon überzeugt bist dass alle Gemälde darin von Michiru sind 	Jigen Daisuke
... 	du vorm Computer Kopfweh kriegst und schreist:,,Ahh,die Crystal-Disk!'' 	oracle
... 	du dir für 45 Euro Sailor Moon Essstäbchen ersteigerst und sie vor jeder Benutzung hochhältst und schreist "Macht der Sailor Moon Essstäbchen, macht auf!!!" 	Arilena
... 	du denkst, jeder halbwegs gutaussehende Kerl fängt an mit Rosen um sich zu schmeißen um dir das Leben zu retten. 	einenFrosch
... 	du bei jeder schwarzen Katze die dir Begegnet: "Luna, warte mal!!!", schreist. 	FranzAmiga
... 	du versuchst die Welt zu retten 	Serena
... 	du mit deine Freundininen die Welt retest, und du dich danach nicht einmal an sie erinern kann!! ;-) 	Angel_@kane
... 	du zwanghaft versuchst Mädchen mit noch kürzerem Rock zu finden 	Final Vegeto
... 	dir aufeinmal zu jeden Thema irgendetwas sentimentales einfällt 	Mondhäschen
... 	weil du angst hast in fremde Zimmer zu schauen weil da der Baum des Lebens nach dier greifen könnte. 	Vandread
... 	du dir deine Haare auf Schulterlänge abschneidest, schwarz färbst und dich auf bis auf die Knochen runterhungerst. 	Yumémi
... 	bei einem Bowling - Turnier die anderen Spieler aufgeben, nur um dein ewiges "Bowlingkugel, flieg und sieg" nicht mehr hören zu müssen. 	Janus
... 	du deine Töchter Chibiusa und und Chibi-chibi nennst weil sie dir wie aus dem Gesicht geschnitten sind ^^ 	MimikoNatsujami
... 	du wie ein Wasserfall anfängst zu heulen.... (sry wenns den schon gibt, hab nich alle durchgelesen *g*) 	miako-chan
... 	du in der U-Bahn von einem kleinen Mädchen zuerst mit Haruka angesprochen und dann um ein Autogramm gebeten wirst...und du dich darüber super freust 	Jigen Daisuke
... 	du dir einen Mond auf die Stirn malst 	Dark Magician
... 	du wild kreischend in der schule rumhüpfst und trällerst 'du hast die maaaaaaaaaaaacht!!!!' *mira anschiel* *röfl* 	bruni
... 	du selbst sailor moon gesehn hast als es garnicht lief! 	Van Dalen
... 	du vor Freude zu zappeln und qasseln anfängst nur weil du gerade Sailor Moon gesguckt hast. (sogar noch im Bett. weiterzappelst und grinst,obwohl du eigentlich in 1 Stunde eine Arbeit schreiben musst) 	Smiley Usagi
... 	du deine Minako-Freundin dafür hasst,dass siesich die Haare schneiden lässt 	Smiley Usagi
... 	du von deinem prinzessin kostüm von karneval die krone holst sie als diadem benutzt,dir deine schuluniform holst um so auszusehen wie sailor moon 	Hase
... 	deine Mutter, jedes mal wenn du weg gehst, zu deinen Vater sagt „ Ich habe das seltsame Gefühl das sie nicht wieder kommt!“ 	Xgirl32
... 	du glaubst , du bist die Älteste von 50 Töchtern der Selene 	Erzsi
... 	du deinen Freund bei Gelegenheit folgendermaßen ermahnst: "Die ganze Verantwortung lastet auf deinen Schultern...Du weißt, was passiert, wenn du versagst!!" 	Prinz_Zoisit
... 	du deiner Katze einen Papirehalbmond aufklebst und sie Luna nennst. 	Girlie46
... 	du deine kleine Schwester Chibi-Chibi nennst und sie fragst woher sie kommt. 	Girlie46
... 	du im [MSC] (MondsteinClan) bist, dich sailormoon nennst dund jeden gegner im namen dess mondes bestrafst 	Der0B3RT3UF3L
... 	du eine Schwarze Katze findest, sie Luna taufst und ihr mit einem gelben Stift einen Mond auf die Stirn malst! 	Animefreak2002
... 	du dich komplett neu einkleidest und dich wunderst, daß dich trotzdem jeder erkennt. 	Lady Death
... 	du dir deine haare gelb färbst und mie mehr zu lässt sie zu schneiden damit sie bis zu deinen füssen reichen 	sailor fan
... 	du statt mit einem Schlüssel, deine Haustür immer mit einem lauten "Mach auf!" öffnen willst. 	RainbowMoon
... 	Kosmetikberatungen boykottierst, weil du dahinter eine der Vier schwestern des Bösen vermutest. 	RainbowMoon
... 	du und deine Freunde euch vorstellen, dass die Klobürste ein Herzstab ist und der kleine Bruder deiner Freundin Neflite ist um ihn dann alle zusammen zu verjagen... 	Ellina
... 	du bei Grippe statt einem Arzt lauthals einem "Healer" verlangst. 	Lau-chan
... 	du deine Freundin wrnst, weil du denkst, ihr Freund ist ein Dämonengeneral aus dem Königreich des Dunkeln! 	amy
... 	du mit deinen Freundinnen auf dem Schulhof mit den Sailor-Sprüchen versuchst den wind zu beschwören und auch noch fest daran glaubst... >.< (Grundschule *g*) 	Sweety
... 	du jedes Blumengeschäft mißtrauisch boykottierst. Es könnte ja sein, dass eine Blume dir das Herz stehlen will. 	RainbowMoon
... 	du sämtliche Uhren aus deinem Zimmer verbannst, weil du befürchtest vom dunklen Königreich verhext zu werden. 	RainbowMoon
... 	du im Geschichtsunterricht verzweifelt nach einem Hinweis aus dem Silberjahrtausend fragst. 	RainbowMoon
... 	du glaubst, das bei jedem Lawinen-Unglück ein Teufel namens Blizzard seine Hand im Spiel hat. 	RainbowMoon
... 	du auf Portäts nur glücklich aussiehst, wenn du ein riesiges Brötchen in der Hand hast 	RainbowMoon
... 	du bei der NASA anrufst und denen weis machen willst, dass es doch Leben auf dem Mond gibt 	Zoisaito
... 	du einem weißen Pferd RedBull gibst, in der Hoffnung, dass ihm Flügel wachsen 	Zoisaito
... 	du im Urlaub eine Japanerin aus der Gegend um Tokio kennenlernst, die Naoko heißt und Sailor Moon NICHT ( oder es zumindetens behaupetet.. ) kennt fasst einen Herzinfakt bekommst.. 	Ataya
... 	du als du im Urlaub auf eine Gruppe japanischer Schulmädchen in Uniform triffst nach der Sailors Ausschau hälst 	Ataya
... 	du denkst, dass dich ein schön verzierter Kulli in eine Braut verwandeln kann. 	RainbowMoon
... 	du deiner Katze nen Halbmond auf die Stirn rasierst! 	Nabiki
... 	du die Liste mit den "zuviel"-Sprüchen hier jetzt gerade komplett durchgelesen hast bzw. durchliest (wie ich *gg*) 	equinox
... 	du in der 5. Klasse mit deinen Freundinnen eine Sailor Moon Clique gegründest, wo ihr sogar Test´s darüber geschrieben habt ( ich schwöre, so was hab ich nie im meinem Leben gemacht!!!) 	Videl14
... 	du deine Kunstlehrerin anschreisst,nachdem sie die zu gross geratenen Augen deiner gezeichneten Figuren kritisiert (sorry,Frau Reinhaardt...*g*) 	Noriko_Yagami
... 	Pegasus wirklich kommt und dich küsst. (wenn es das schon gitb dann tuts mir leid hab net alle durch gelesen) 	Melle
... 	du dich draußen hin kniest, nach Pegasus ruft um nach Elysion (wird des so geschrieben) zu fliegen 	Melle
... 	du Nachts den Mond mit dem Teleskop beobachtest, weil du endlich die Prinzessin sehen willst. 	Melle
... 	du auf die schwarze Katze deiner Oma einredest sie aber einfach nicht zum sprechen bekommst (Ich habs versucht ^-^) 	SweetRan
... 	sich deine Katze besser mit Computer auskennt als du 	Silverhawk
... 	du ernsthaft vor hast, die GESAMTE Liste hier zu lesen ... oder es gerade getan hast @_@ (und das nachts um 20 vor 3 ...) 	Miuu
... 	du diese Liste KOMPLETT um halb 12 nachts liest und immer wieder bestätigend nickst... 	Mercury
... 	Du nach dem Lesen der Mangas immer von Sailor Moon träumst! (Echt, das ist mir passiert, bei Anderen Mangas hab ich das noch nie erlebt) 	Gozaimasu
... 	du die Liste mit den "zuviel"-Sprüchen hier jetzt gerade komplett durchgelesen hast bzw. durchliest (wie ich *gg*) 	mercurius
... 	dir auffällt, dass bei jeder peinlichen Situation deiner blonden Freundin eine Schweißperle im Gesicht hängt und du Augen bekommst die auf Halbmast stehn. 	Nightmare Alice
... 	du in deinen träumen und auch danach meinst, gegen monster zu kämpfen, und dann merkst, dass es leider nur ein TRAUM war ??????????????? ;-) 	luxana
... 	du dir die Serie auf türkisch anguckst, obwohl du kein Wort türkisch kannst nur um den japanischen Vor- und abspann zu sehen 	Fuma21
... 	du jeden Diamanten für den Silberkristall hälst. 	Corasonn
... 	du glaubst, dass die Mitglieder von Boygroups Ausserirdische von einem zerstörten Planeten sind ( obwohl... ) 	RainbowMoon
... 	du vor jedem Fluss Angst hast, weil du glaubst, er könne dir deine Erinnerung nehmen. 	RainbowMoon
... 	du glaubst, dass das nervige Kind, das dich schon den ganzen Tag ärgert deine Tochter aus der Zukunft ist. 	RainbowMoon
... 	du glaubst, dass Katzen sprechen können 	RainbowMoon
... 	du dich auf´m Schulhof hinstellst und rufst:"Mondstein,flieg und sieg"! 	Jeanne
... 	ein Einbrecher die Flucht ergreift, wenn du rufst "im Namen des Mondes werde ich dich bestrafen", damit er sich nicht ansteckt. 	Violetta
... 	du einen deiner Schlüssel in die Luft streckst um damit in die Zukunft zu reisen. 	Michaela
... 	du versuchst deiner Katze das Sprechen beizubringen. 	Michaela
... 	du verzweifelt auf der suche nach den ganzen alten titelliedern bist...kann die mir bidde jemand als mp3 schicken oder mir die titel von den liedern sagen das ich sie mir bei audiogalaxy runterladen kann?? BIDDE! 	Sab
... 	du versuchst dich mit einer Rajete zum Mond zu schießen,weil du behauptest,dass du dort früher gewohnt hast. 	nuefftie
... 	du deine kleine schwarze Katze Luna nennst (hab ich getan-sie heisst heute noch so) 	ChoChang
... 	du versuchst eine Rose so zu werfen,dass sie im Boden stecken bleibt. 	Natiä
... 	du Woerter mit "SM" siehst,und glaubst es waehre Smoon gemeint(Hi Leute, SM kann auch etwas eckliges bedeuten!) 	Cosmoslove
... 	du versuchst alle nicht-deutschen Fanfics zu uebersetzen,damit diese auch das schauen koennen(Ich bin so verueckt,dass zu tun!!!) 	Cosmoslove
... 	du dich in Seiya verliebt hast und auf Bunny eifersüchtig bist, dass er nur sie anguckt und eine Fanfic geschrieben hast, in der er dich als seine wahre Liebe erkennt. 	SailorAsteroid
... 	du jedem, der einen bösen Witz über Sailor Uranus macht, einen großen gelben Ball in die Fresse knallst und dazu rufst: "World Shaking!" 	Seiko
... 	du ständig draussen in der Kälte stehst und denkst der Wind "redet" mit dir! 	Seiko
... 	du den Film Gefährliche Blumen angeschaust und mitbekommst das der Text auf Amis Specialbrille in deutsch geschrieben ist 	Lili
... 	du dir aus Modeliermasse ein Zeptar nachbaust, und dann eine stunde in deinem Zimmer versuchst dich zu verwandeln!!(Das hab ich alles gemacht!) 	Fighter
... 	du in jeder Spielhalle nach einem gutaussehenden Jungen namens Motoki suchst. 	Senshi_Marco
... 	du dann auch noch tatsächlich versuchst, damit jemanden totzuspielen.. ( siehe manga ... he, ich hab das mal ausprobiert - mehr als taubheit kam aber nicht bei raus... schade.. ) 	Ataya Kimoku
... 	du dir einen Nachgebaute Stradivari kaufst und dann spielst.. 	Ataya Kimoku
... 	Du was mit einer Michiru anfängst, nur um Haruka ein Schnippchen zu schlagen...(und das nur, weil Du dich für Seiya hältst^^) 	SeiyaKaiohKou
... 	du dich in Seiya verliebt hast und auf Bunny eifersüchtig bist, dass er nur sie anguckt und eine Fanfic geschrieben hast, in der er dich als seine wahre Liebe erkennt. 	SailorAsteroid
... 	du Sailor Moon Hentai bilder als deinen Hintergrund wählst 	SailorVenusLover
... 	du jeden Tag mindestens eine Stunde vor dem Spiegel stehst, nur um die gleiche Frisur wie Haruka zu haben (Leudde! Ich habs geschafft ^_^) 	Jigen
